       mw          cp           t         gam
   2.0944E+01  2.6257E+01  4.2595E+00  3.2431E+03
   2.0952E+01  2.6562E+01  4.0858E+00  3.0627E+03
   2.0945E+01  2.6279E+01  4.2107E+00  3.2532E+03
   2.0952E+01  2.6582E+01  4.0380E+00  3.0711E+03
   2.1572E+01  2.6299E+01  4.1672E+00  3.2623E+03
   2.1630E+01  2.6600E+01  3.9954E+00  3.0787E+03
   2.1595E+01  2.6317E+01  4.1280E+00  3.2706E+03
   2.1639E+01  2.6617E+01  3.9569E+00  3.0855E+03
   2.1606E+01  2.6334E+01  4.0924E+00  3.2782E+03
   2.1643E+01  2.6632E+01  3.9220E+00  3.0918E+03
   2.1613E+01  2.6349E+01  4.0598E+00  3.2852E+03
   2.1646E+01  2.6646E+01  3.8900E+00  3.0976E+03
   2.1618E+01  2.6364E+01  4.0298E+00  3.2918E+03
   2.1648E+01  2.6659E+01  3.8606E+00  3.1030E+03
   2.1622E+01  2.6377E+01  4.0020E+00  3.2979E+03
   2.1649E+01  2.6672E+01  3.8332E+00  3.1080E+03
   2.1625E+01  2.6390E+01  3.9761E+00  3.3036E+03
   2.1650E+01  2.6683E+01  3.8078E+00  3.1127E+03
   2.1627E+01  2.6402E+01  3.9519E+00  3.3090E+03
   2.1651E+01  2.6694E+01  3.7840E+00  3.1171E+03
   2.1629E+01  2.6413E+01  3.9292E+00  3.3140E+03
   2.1652E+01  2.6704E+01  3.7617E+00  3.1213E+03
   2.1631E+01  2.6423E+01  3.9079E+00  3.3188E+03
   2.1653E+01  2.6713E+01  3.7407E+00  3.1252E+03
   2.1632E+01  2.5962E+01  5.4467E+00  3.0256E+03
   2.1653E+01  2.6299E+01  5.2582E+00  2.8791E+03
   2.1634E+01  2.6111E+01  5.0307E+00  3.0938E+03
   2.1654E+01  2.6441E+01  4.8566E+00  2.9375E+03
   2.1635E+01  2.6199E+01  4.8062E+00  3.1335E+03
   2.1654E+01  2.6523E+01  4.6397E+00  2.9713E+03
   2.1636E+01  2.6261E+01  4.6550E+00  3.1617E+03
   2.1654E+01  2.6581E+01  4.4934E+00  2.9952E+03
   2.1637E+01  2.6309E+01  4.5421E+00  3.1834E+03
   2.1655E+01  2.6626E+01  4.3840E+00  3.0135E+03
   2.1638E+01  2.6348E+01  4.4527E+00  3.2011E+03
   2.1655E+01  2.6662E+01  4.2973E+00  3.0284E+03
   2.1639E+01  2.6381E+01  4.3790E+00  3.2161E+03
   2.1655E+01  2.6693E+01  4.2258E+00  3.0410E+03
   2.1639E+01  2.6410E+01  4.3165E+00  3.2290E+03
   2.1656E+01  2.6719E+01  4.1652E+00  3.0518E+03
   2.1640E+01  2.6435E+01  4.2624E+00  3.2403E+03
   2.1656E+01  2.6743E+01  4.1126E+00  3.0613E+03
   2.1641E+01  2.6457E+01  4.2149E+00  3.2504E+03
   2.1656E+01  2.6763E+01  4.0664E+00  3.0697E+03
   2.2172E+01  2.6477E+01  4.1725E+00  3.2596E+03
   2.2263E+01  2.6782E+01  4.0252E+00  3.0774E+03
   2.2209E+01  2.6496E+01  4.1344E+00  3.2679E+03
   2.2281E+01  2.6799E+01  3.9881E+00  3.0843E+03
   2.2227E+01  2.6513E+01  4.0998E+00  3.2755E+03
   2.2289E+01  2.6815E+01  3.9544E+00  3.0906E+03
   2.2239E+01  2.6529E+01  4.0681E+00  3.2826E+03
   2.2294E+01  2.6829E+01  3.9236E+00  3.0965E+03
   2.2247E+01  2.6543E+01  4.0389E+00  3.2891E+03
   2.2298E+01  2.6842E+01  3.8952E+00  3.1019E+03
   2.2254E+01  2.6557E+01  4.0119E+00  3.2952E+03
   2.2301E+01  2.6855E+01  3.8688E+00  3.1070E+03
   2.2259E+01  2.6569E+01  3.9867E+00  3.3010E+03
   2.2303E+01  2.6866E+01  3.8443E+00  3.1118E+03
   2.2263E+01  2.6581E+01  3.9633E+00  3.3064E+03
   2.2305E+01  2.6877E+01  3.8214E+00  3.1162E+03
   2.2266E+01  2.6593E+01  3.9412E+00  3.3115E+03
   2.2306E+01  2.6888E+01  3.7999E+00  3.1205E+03
   2.2269E+01  2.6603E+01  3.9205E+00  3.3163E+03
   2.2307E+01  2.6897E+01  3.7797E+00  3.1244E+03
   2.2272E+01  2.6123E+01  5.3964E+00  3.0217E+03
   2.2308E+01  2.6461E+01  5.2156E+00  2.8753E+03
